symbol,name,sector
ELSA.JK,,
ELTY.JK,,
EMDE.JK,,
EMTK.JK,Elang Mahkota Teknologi,Technology
ENAK.JK,,
ENRG.JK,,
ENVY.JK,,
ENZO.JK,,
EPAC.JK,,
EPMT.JK,,
ERAA.JK,Erajaya Swasembada,Consumer Cyclical
ERAL.JK,,
ERTX.JK,,
ESIP.JK,,
ESSA.JK,,
ESTA.JK,,
ESTI.JK,,
ETWA.JK,,
EURO.JK,,
EXCL.JK,XL Axiata,Communication
FAPA.JK,,
FAST.JK,,
FASW.JK,,
FILM.JK,,
FIMP.JK,,
FINN.JK,,
FIRE.JK,,
FISH.JK,,
FITT.JK,,
FLMC.JK,,
FMII.JK,,
FOLK.JK,,
FOOD.JK,,
FORU.JK,,
FORZ.JK,,
FPNI.JK,,
FREN.JK,,
FUJI.JK,,
FUTR.JK,,
FWCT.JK,,
GAMA.JK,,
GDST.JK,,
GDYR.JK,,
GEMA.JK,,
GEMS.JK,,
GGRM.JK,Gudang Garam,Consumer Defensive
GGRP.JK,,
GHON.JK,,
GIAA.JK,,
GJTL.JK,,
GLOB.JK,,
GLVA.JK,,
GMFI.JK,,
GMTD.JK,,
GOLD.JK,,
GOLF.JK,,
GOLL.JK,,
GOOD.JK,,
GOTO.JK,GoTo Gojek Tokopedia,Technology
GOTOM.JK,,
GPRA.JK,,
GPSO.JK,,
GRIA.JK,,
GRPH.JK,,
GRPM.JK,,
GSMF.JK,,
GTBO.JK,,
GTRA.JK,,
GTSI.JK,,
GULA.JK,,
GUNA.JK,,
GWSA.JK,,
GZCO.JK,,
HADE.JK,,
HAIS.JK,,
HAJJ.JK,,
HALO.JK,,
HATM.JK,,
HBAT.JK,,
HDFA.JK,,
HDIT.JK,,
HDTX.JK,,
HEAL.JK,Medikaloka Hermina,Healthcare
HELI.JK,,
HERO.JK,,
HEXA.JK,,
HGII.JK,,
HILL.JK,,
HITS.JK,,
HKMU.JK,,
HMSP.JK,HM Sampoerna,Consumer Defensive
HOKI.JK,,
HOME.JK,,
HOMI.JK,,
HOPE.JK,,
HOTL.JK,,
HRME.JK,,
HRTA.JK,,
